"Student Counts by School and Grade"
"All Districts, All Schools"
"2018-19"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
,,"Philip R. Smith School","=""1320111""","*",69,71,64,65,"*",65,0,0,0,0,0,0,0,394
,,"Preschool Outreach Program","=""1320511""",86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
,,"Pleasant Valley School","=""1320211""",0,102,93,85,82,89,82,0,0,0,0,0,0,0,533
,,"Timothy Edwards School","=""1325111""",0,0,0,0,0,0,0,313,314,354,0,0,0,0,981
,,"Alternative Education Program","=""1320311""",0,0,0,0,0,0,0,0,0,0,"*",6,"*","*",12
,,"South Windsor High School","=""1326211""",0,0,0,0,0,0,0,0,0,0,321,307,330,308,1266
,,"Project Worth Young Adult Academy","=""1329011""",0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
"Southington School District","=""1310011""","Southington Public Schools Preschool Program","=""1312111""",19,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,,"Southington Public Schools Preschool Program at Hatton School","=""1312011""",70,0,0,0,0,0,0,0,0,0,0,0,0,0,70
,,"Urbin T. Kelley School","=""1311411""","*",42,"*",52,44,57,54,0,0,0,0,0,0,0,291
,,"Derynoski Elementary School","=""1311511""",0,103,81,71,93,89,98,0,0,0,0,0,0,0,535
,,"Flanders Elementary School","=""1311311""",0,41,64,37,35,53,56,0,0,0,0,0,0,0,286
,,"Hatton Elementary School","=""1310211""",0,49,48,54,49,57,64,0,0,0,0,0,0,0,321
,,"Language Based Classroom II","=""1312311""",0,"*","*",6,0,0,0,0,0,0,0,0,0,0,10
,,"Language Based Classroom, Multihandicapped","=""1311811""",0,"*",7,"*","*",0,"*",0,0,0,0,0,0,0,15
,,"Plantsville Elementary School","=""1310611""",0,38,41,44,49,52,41,0,0,0,0,0,0,0,265
,,"South End Elementary School","=""1310711""",0,32,35,44,36,51,35,0,0,0,0,0,0,0,233
,,"Strong Elementary School","=""1310811""",0,48,37,41,41,56,58,0,0,0,0,0,0,0,281
,,"Thalberg Elementary School","=""1310911""",0,66,68,74,71,78,89,0,0,0,0,0,0,0,446
,,"Language Based Classroom at Hatton School","=""1310411""",0,0,0,0,"*","*",6,0,0,0,0,0,0,0,11
,,"John F. Kennedy Middle School","=""1315311""",0,0,0,0,0,0,0,250,250,264,0,0,0,0,764
,,"EASE","=""1310511""",0,0,0,0,0,0,0,6,"*","*",0,0,0,0,11
,,"Joseph A. Depaolo Middle School","=""1315111""",0,0,0,0,0,0,0,223,234,284,0,0,0,0,741
,,"Therapeutic Educational Alternative Model (TEAM)","=""1311611""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,10
,,"Achieve","=""1311711""",0,0,0,0,0,0,0,0,0,0,7,"*","*","*",15
,,"Alta","=""1310111""",0,0,0,0,0,0,0,0,0,0,6,7,12,7,32
,,"Southington High School","=""1316211""",0,0,0,0,0,0,0,0,0,0,497,501,520,452,1970
,,"Therapeutic Educational Setting (TEP)","=""1311211""",0,0,0,0,0,0,0,0,0,0,"*",6,"*",0,15
,,"STELLAR","=""1312211""",0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
"Sprague School District","=""1330011""","Sayles School","=""1330111""",35,30,30,30,28,34,31,39,29,25,0,"*",0,"*",313
"Stafford School District","=""1340011""","Staffordville School","=""1340311""",44,57,46,0,0,0,0,0,0,0,0,0,0,0,147
,,"West Stafford School","=""1340411""",43,53,48,0,0,0,0,0,0,0,0,0,0,0,144
,,"Stafford Elementary School","=""1340611""",0,0,0,110,101,131,128,0,0,0,0,0,0,0,470
,,"Stafford Middle School","=""1345211""",0,0,0,0,0,0,0,102,130,117,0,0,0,0,349
,,"Stafford High School","=""1346111""",0,0,0,0,0,0,0,0,0,0,92,97,100,95,384
,,"Stafford Tutoring Program","=""1340211""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",7
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""",59,56,56,58,56,54,0,0,0,0,0,0,0,0,339
"Stamford School District","=""1350011""","Apples PreK","=""1350111""",168,0,0,0,0,0,0,0,0,0,0,0,0,0,168
,,"Davenport Ridge School","=""1352011""",11,107,91,95,107,113,102,0,0,0,0,0,0,0,626
,,"K. T. Murphy School","=""1350511""",14,85,73,86,78,78,87,0,0,0,0,0,0,0,501
,,"Preschool Team","=""1358011""",55,0,0,0,0,0,0,0,0,0,0,0,0,0,55
,,"Roxbury School","=""1350911""",15,83,89,91,105,95,93,0,0,0,0,0,0,0,571
,,"Northeast School","=""1351811""",0,95,109,94,105,108,107,0,0,0,0,0,0,0,618
,,"Hart School","=""1352211""",0,98,97,96,103,115,103,0,0,0,0,0,0,0,612
,,"Julia A. Stark School","=""1351211""",0,116,97,98,90,89,110,0,0,0,0,0,0,0,600
,,"Newfield School","=""1350611""",0,85,80,90,83,98,88,0,0,0,0,0,0,0,524
,,"Rogers International School","=""1350811""",0,93,89,89,90,92,90,89,91,87,0,0,0,0,810
,,"Springdale School","=""1351111""",0,85,101,77,93,97,122,0,0,0,0,0,0,0,575
,,"Stillmeadow School","=""1352111""",0,107,94,108,100,116,111,0,0,0,0,0,0,0,636
,,"Strawberry Hill an ext. of Rogers International","=""1350711""",0,110,110,107,109,0,0,0,0,0,0,0,0,0,436
,,"Toquam Magnet School","=""1351911""",0,117,112,93,98,117,100,0,0,0,0,0,0,0,637
,,"Westover School","=""1351411""",0,113,111,116,118,124,103,0,0,0,0,0,0,0,685
,,"Cloonan School","=""1355611""",0,0,0,0,0,0,0,234,212,186,0,0,0,0,632
,,"Dolan School","=""1355311""",0,0,0,0,0,0,0,220,218,166,0,0,0,0,604
,,"Rippowam Middle School","=""1355811""",0,0,0,0,0,0,0,274,246,231,0,0,0,0,751
,,"Scofield Middle School","=""1355711""",0,0,0,0,0,0,0,235,200,211,0,0,0,0,646
,,"Turn of River School","=""1355511""",0,0,0,0,0,0,0,212,220,221,0,0,0,0,653
,,"Alternate Routes To Success","=""1350411""",0,0,0,0,0,0,0,0,0,0,8,21,26,18,73
,,"Stamford High School","=""1356111""",0,0,0,0,0,0,0,0,0,0,484,423,449,387,1743
,,"The Academy of Information Technology","=""1356411""",0,0,0,0,0,0,0,0,0,0,167,160,151,160,638
,,"Westhill High School","=""1356311""",0,0,0,0,0,0,0,0,0,0,595,512,521,499,2127
,,"Individuals Achieving Independence","=""1350211""",0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",29,24,26,34,43,35,39,41,42,48,0,0,0,0,361
"Stonington School District","=""1370011""","Stonington BOE Pre-School","=""1370111""",26,0,0,0,0,0,0,0,0,0,0,0,0,0,26
,,"Stonington HS PreK","=""1370211""",26,0,0,0,0,0,0,0,0,0,0,0,0,0,26
,,"Deans Mill School","=""1370511""",0,74,82,66,75,81,0,0,0,0,0,0,0,0,378
,,"West Vine Street School","=""1370611""",0,61,67,"*","*",0,0,0,0,0,0,0,0,0,183
,,"West Broad Street School","=""1370411""",0,0,0,0,53,58,0,0,0,0,0,0,0,0,111
,,"Mystic Middle School","=""1375211""",0,0,0,0,0,0,78,97,82,94,0,0,0,0,351
,,"Pawcatuck Middle School","=""1375111""",0,0,0,0,0,0,67,80,73,62,0,0,0,0,282
,,"Stonington High School","=""1376111""",0,0,0,0,0,0,0,0,0,0,164,172,166,162,664
,,"SAILS","=""1370711""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*",7
"Stratford School District","=""1380011""","Franklin School","=""1380411""",40,38,36,33,43,42,57,35,0,0,0,0,0,0,324
,,"Second Hill Lane School","=""1381011""",101,48,51,57,35,52,53,68,0,0,0,0,0,0,465
,,"Stratford Academy - Victoria Soto School","=""1382211""",38,113,112,0,0,0,0,0,0,0,0,0,0,0,263
,,"ABA - K-6","=""1380611""",0,"*","*","*",8,"*",0,0,0,0,0,0,0,0,21
,,"Chapel School","=""1380311""",0,33,29,37,50,47,76,72,0,0,0,0,0,0,344
,,"Eli Whitney School","=""1381311""",0,72,78,60,72,83,72,79,0,0,0,0,0,0,516
,,"Lordship School","=""1380811""",0,42,35,37,48,40,50,51,0,0,0,0,0,0,303
,,"Nichols School","=""1380911""",0,62,61,62,64,61,71,67,0,0,0,0,0,0,448
,,"STEPS K-6","=""1382811""",0,"*","*","*",6,"*","*","*",0,0,0,0,0,0,18
,,"Wilcoxson School","=""1381411""",0,37,55,62,53,57,61,56,0,0,0,0,0,0,381
,,"DLC Whitney","=""1382311""",0,0,0,"*","*","*","*","*",0,0,0,0,0,0,"*"
,,"Stratford Academy - Johnson House","=""1381511""",0,0,0,96,102,83,90,101,0,0,0,0,0,0,472
,,"IPP Class Room - Second Hill Lane","=""1382711""",0,0,0,0,"*","*","*","*",0,0,0,0,0,0,6
,,"David Wooster Middle School","=""1385211""",0,0,0,0,0,0,0,0,263,261,0,0,0,0,524
,,"Harry B. Flood Middle School","=""1385311""",0,0,0,0,0,0,0,0,286,282,0,0,0,0,568
,,"Middle School Sails","=""1381811""",0,0,0,0,0,0,0,0,"*","*",0,0,0,0,8
,,"STEPS 7-8","=""1381911""",0,0,0,0,0,0,0,0,"*","*",0,0,0,0,6
,,"ALPHA","=""1380511""",0,0,0,0,0,0,0,0,0,0,"*",11,11,"*",31
,,"Bunnell High School","=""1386211""",0,0,0,0,0,0,0,0,0,0,277,257,256,256,1046
,,"High School Sails","=""1380711""",0,0,0,0,0,0,0,0,0,0,"*",9,"*","*",17
,,"STEPS 9-12","=""1382011""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",8
,,"Stratford High School","=""1386111""",0,0,0,0,0,0,0,0,0,0,246,263,246,218,973
,,"Strive-Stratford","=""1389011""",0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""",39,129,129,133,0,0,0,0,0,0,0,0,0,0,430
,,"McAlister Intermediate School","=""1390311""",0,0,0,0,139,142,138,0,0,0,0,0,0,0,419
,,"Suffield Middle School","=""1395111""",0,0,0,0,0,0,0,158,167,151,0,0,0,0,476
,,"Suffield High School","=""1396111""",0,0,0,0,0,0,0,0,0,0,215,204,188,203,810
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""",40,62,55,60,63,0,0,0,0,0,0,0,0,0,280
,,"Thomaston Center School","=""1400211""",0,0,0,0,0,65,57,67,0,0,0,0,0,0,189
,,"Thomaston High School","=""1406211""",0,0,0,0,0,0,0,0,58,74,56,64,48,61,361
,,"PATHS","=""1400311""",0,0,0,0,0,0,0,0,0,"*","*","*","*",6,15
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",40,82,89,65,65,75,0,0,0,0,0,0,0,0,416
,,"Thompson Middle School","=""1415111""",0,0,0,0,0,0,77,78,78,90,0,0,0,0,323
,,"Tourtellotte Memorial High School","=""1416111""",0,0,0,0,0,0,0,0,0,0,76,60,47,62,245
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""",50,130,149,147,0,0,0,0,0,0,0,0,0,0,476
,,"Tolland Intermediate School","=""1420211""",0,0,0,0,139,189,184,0,0,0,0,0,0,0,512
,,"Tolland Middle School","=""1425111""",0,0,0,0,0,0,0,190,189,191,0,0,0,0,570
,,"Tolland High School","=""1426111""",0,0,0,0,0,0,0,0,0,0,189,216,203,193,801
,,"TALC","=""1420311""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*",9
"Torrington School District","=""1430011""","East TPS - PreK - Reg Ed","=""1432211""",44,0,0,0,0,0,0,0,0,0,0,0,0,0,44
,,"Pre-K SpEd","=""1431611""",30,0,0,0,0,0,0,0,0,0,0,0,0,0,30
,,"TPS Preschool Lab","=""1430611""",20,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,,"Torringford School","=""1430911""",0,158,174,159,167,0,0,0,0,0,0,0,0,0,658
,,"Vogel-Wetmore School","=""1431311""",0,140,157,158,140,0,0,0,0,0,0,0,0,0,595
,,"Forbes School","=""1430211""",0,0,0,0,0,171,191,0,0,0,0,0,0,0,362
,,"Southwest School","=""1430811""",0,0,0,0,0,151,146,0,0,0,0,0,0,0,297
,,"Torrington Middle School","=""1435111""",0,0,0,0,0,0,0,325,327,333,0,0,0,0,985
,,"Torrington High School","=""1436111""",0,0,0,0,0,0,0,0,0,0,269,201,188,195,853
,,"Post Secondary Transition Services","=""1430311""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",0,71,78,77,82,79,88,0,0,0,0,0,0,0,475
,,"Trumbull Early Childhood Education Center","=""1448011""",225,0,0,0,0,0,0,0,0,0,0,0,0,0,225
,,"Daniels Farm School","=""1440811""",0,78,74,98,78,81,92,0,0,0,0,0,0,0,501
,,"Frenchtown Elementary School","=""1441011""",0,77,84,72,77,75,107,0,0,0,0,0,0,0,492
,,"Jane Ryan School","=""1440411""",0,73,47,76,79,53,69,0,0,0,0,0,0,0,397
,,"Middlebrook School","=""1440311""",0,83,92,66,80,83,97,0,0,0,0,0,0,0,501
,,"Tashua School","=""1440911""",0,74,64,53,82,72,79,0,0,0,0,0,0,0,424
,,"Hillcrest Middle School","=""1445211""",0,0,0,0,0,0,0,255,227,243,0,0,0,0,725
,,"Madison Middle School","=""1445111""",0,0,0,0,0,0,0,258,306,269,0,0,0,0,833
,,"REACH","=""1440511""",0,0,0,0,0,0,0,0,0,0,"*",6,"*","*",13
,,"Trumbull Alternative School","=""1440211""",0,0,0,0,0,0,0,0,0,0,"*","*",8,10,22
,,"Trumbull High School","=""1446111""",0,0,0,0,0,0,0,0,0,0,571,529,482,522,2104
,,"Educating Learners in Transitional Environments (ELITE)","=""1440611""",0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
"Union School District","=""1450011""","Union Elementary School","=""1450111""","*","*","*",9,"*","*",7,7,"*",7,0,0,0,0,52
"Vernon School District","=""1460011""","Center Road School","=""1461411""",47,78,75,59,84,78,63,0,0,0,0,0,0,0,484
,,"Lake Street School","=""1460111""",29,38,28,30,17,33,42,0,0,0,0,0,0,0,217
,,"Northeast School","=""1460311""",16,37,35,30,43,35,28,0,0,0,0,0,0,0,224
,,"Skinner Road School","=""1461011""",28,49,45,48,64,43,46,0,0,0,0,0,0,0,323
,,"Elementary Activities Based Learning Program","=""1461111""",0,"*","*","*","*",0,"*",0,0,0,0,0,0,0,8
,,"Maple Street School","=""1460211""",0,47,48,57,41,49,31,0,0,0,0,0,0,0,273
,,"First Step","=""1460911""",0,0,"*","*","*",0,"*",0,0,0,0,0,0,0,8
,,"Renaissance Program","=""1460811""",0,0,"*","*","*","*","*",0,0,0,0,0,0,0,9
,,"Vernon Center Middle School","=""1465111""",0,0,0,0,0,0,0,244,248,213,0,0,0,0,705
,,"Rockville High School","=""1466111""",0,0,0,0,0,0,0,0,0,0,245,202,201,206,854
,,"Next Step Program (AACBP)","=""1469011""",0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",43,11,22,20,26,28,26,25,32,31,0,0,0,0,264
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""",122,82,64,94,0,0,0,0,0,0,0,0,0,0,362
,,"Evarts C. Stevens School","=""1480911""",29,99,93,86,0,0,0,0,0,0,0,0,0,0,307
,,"Highland School","=""1480211""",32,77,96,120,0,0,0,0,0,0,0,0,0,0,325
,,"Moses Y. Beach School","=""1480111""",32,103,110,103,0,0,0,0,0,0,0,0,0,0,348
,,"STARS: K-2 Autism","=""1480711""",0,"*",7,"*",0,0,0,0,0,0,0,0,0,0,15
,,"Harvest Park","=""1489211""",0,0,"*","*","*","*","*",0,0,0,0,0,0,0,12
,,"Mary G. Fritz Elementary School of Yalesville","=""1480811""",0,0,0,0,71,115,116,0,0,0,0,0,0,0,302
,,"Parker Farms School","=""1480311""",0,0,0,0,92,91,83,0,0,0,0,0,0,0,266
,,"Pond Hill School","=""1481211""",0,0,0,0,87,117,101,0,0,0,0,0,0,0,305
,,"Rock Hill School","=""1480411""",0,0,0,0,100,90,107,0,0,0,0,0,0,0,297
,,"STARS: 3-5 Autism","=""1481111""",0,0,0,0,"*","*","*",0,0,0,0,0,0,0,9
,,"K-5 Benhaven ABC Program","=""1480611""",0,0,0,0,0,"*","*",0,0,0,0,0,0,0,"*"
,,"A.R.T.S. Academy","=""1489011""",0,0,0,0,0,0,0,"*","*","*","*",8,"*","*",21
,,"Dag Hammarskjold Middle School","=""1485211""",0,0,0,0,0,0,0,223,208,233,0,0,0,0,664
,,"Inspire","=""1481311""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,13
,,"James H. Moran Middle School","=""1485311""",0,0,0,0,0,0,0,181,189,208,0,0,0,0,578
,,"Education Enhancement Program","=""1480511""",0,0,0,0,0,0,0,0,0,0,"*","*",12,6,20
,,"Lyman Hall High School","=""1486111""",0,0,0,0,0,0,0,0,0,0,256,313,265,240,1074
,,"Mark T. Sheehan High School","=""1486211""",0,0,0,0,0,0,0,0,0,0,215,186,200,194,795
,,"I.C.E.-T Transition Program","=""1489111""",0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""","*",98,90,81,"*",98,93,0,0,0,0,0,0,0,541
,,"Bunker Hill School","=""1510611""",13,93,82,72,65,70,78,0,0,0,0,0,0,0,473
,,"Carrington School","=""1512711""",31,48,54,53,43,61,56,52,56,56,0,0,0,0,510
,,"Driggs School","=""1510911""",21,86,86,67,81,82,76,0,0,0,0,0,0,0,499
,,"Duggan School","=""1511611""",34,56,45,50,50,57,49,50,50,38,0,0,0,0,479
,,"Gilmartin School","=""1512611""",35,44,66,41,49,50,55,43,55,38,0,0,0,0,476
,,"H. S. Chase School","=""1510711""",17,98,109,92,105,121,116,0,0,0,0,0,0,0,658
,,"Maloney Interdistrict Magnet School","=""1513111""",72,80,88,88,88,88,86,0,0,0,0,0,0,0,590
,,"Maloney Prek","=""1519811""",15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,,"Reed School","=""1513411""",36,41,49,48,49,54,46,55,51,49,0,0,0,0,478
,,"Rotella Interdistrict Magnet School","=""1513311""",71,89,86,88,88,96,96,0,0,0,0,0,0,0,614
,,"Special Education Preschool","=""1518011""",196,0,0,0,0,0,0,0,0,0,0,0,0,0,196
,,"Sprague School","=""1512011""",89,70,64,71,56,81,73,0,0,0,0,0,0,0,504
,,"Walsh School","=""1512211""",17,62,63,52,53,93,64,0,0,0,0,0,0,0,404
,,"Washington School","=""1512311""",15,55,45,43,50,52,51,0,0,0,0,0,0,0,311
,,"Waterbury Career Academy","=""1516711""",10,0,0,0,0,0,0,0,0,0,201,202,184,211,808
,,"Wendell L. Cross School","=""1510811""",34,60,47,50,50,52,56,0,0,0,0,0,0,0,349
,,"Woodrow Wilson School","=""1513211""",52,83,51,68,67,46,48,0,0,0,0,0,0,0,415
,,"Bucks Hill Autism","=""1514611""",0,"*",8,6,"*","*","*",0,0,0,0,0,0,0,26
,,"Bucks Hill Bilingual","=""1514311""",0,27,34,51,51,27,20,0,0,0,0,0,0,0,210
,,"Bucks Hill School","=""1510511""",0,67,66,61,61,59,58,0,0,0,0,0,0,0,372
,,"Carrington ESC","=""1511911""",0,"*","*","*",0,"*","*","*","*",0,0,0,0,0,18
,,"Chase Bilingual","=""1514111""",0,18,23,34,26,18,11,0,0,0,0,0,0,0,130
,,"F. J. Kingsbury School","=""1511411""",0,80,89,84,86,85,85,0,0,0,0,0,0,0,509
,,"Gilmartin Scope","=""1516911""",0,"*",6,"*",0,0,0,0,0,0,0,0,0,0,9
,,"Hopeville Bilingual","=""1514211""",0,20,27,24,18,18,20,0,0,0,0,0,0,0,127
,,"Hopeville School","=""1511311""",0,77,61,54,64,52,45,0,0,0,0,0,0,0,353
,,"Margaret M. Generali Autism","=""1513511""",0,6,7,"*","*","*",6,0,0,0,0,0,0,0,31
,,"Margaret M. Generali Elementary School","=""1511111""",0,96,101,93,95,86,91,0,0,0,0,0,0,0,562
,,"Regan School","=""1512811""",0,39,36,47,39,39,49,0,0,0,0,0,0,0,249
,,"State Street School","=""1519011""",0,6,0,"*",7,"*",8,"*",13,7,7,13,14,13,102
,,"B.W. Tinker BDLC","=""1510411""",0,0,"*","*",0,0,0,0,0,0,0,0,0,0,8
,,"Hearing Lab","=""1517211""",0,0,"*","*",0,0,0,0,0,0,0,0,0,0,"*"
,,"Reed ESC","=""1512411""",0,0,"*","*","*","*","*","*","*","*",0,0,0,0,24
,,"Woodrow Wilson BDLC","=""1511211""",0,0,"*","*","*",11,7,0,0,0,0,0,0,0,24
,,"Bunker Hill BDLC","=""1510111""",0,0,0,"*",11,9,"*",0,0,0,0,0,0,0,25
,,"West Side Middle School","=""1515211""",0,0,0,0,0,0,0,343,315,320,0,0,0,0,978
,,"Duggan Scope","=""1516811""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,6
,,"Enlightenment School","=""1519111""",0,0,0,0,0,0,0,7,27,26,17,27,32,19,155
,,"Michael F. Wallace Autism","=""1512911""",0,0,0,0,0,0,0,8,"*","*",0,0,0,0,16
,,"Michael F. Wallace Middle School","=""1515111""",0,0,0,0,0,0,0,363,356,333,0,0,0,0,1052
,,"North End BDLC","=""1513711""",0,0,0,0,0,0,0,"*","*",10,0,0,0,0,20
,,"North End Bilingual","=""1515711""",0,0,0,0,0,0,0,23,14,22,0,0,0,0,59
,,"North End Middle School","=""1515311""",0,0,0,0,0,0,0,321,286,321,0,0,0,0,928
,,"North End SCOPE","=""1514811""",0,0,0,0,0,0,0,"*",6,"*",0,0,0,0,10
,,"Wallace BDLC","=""1514411""",0,0,0,0,0,0,0,"*","*",6,0,0,0,0,14
,,"Wallace Bilingual","=""1515811""",0,0,0,0,0,0,0,18,18,18,0,0,0,0,54
,,"Wallace SCOPE","=""1514911""",0,0,0,0,0,0,0,"*",7,"*",0,0,0,0,14
,,"Waterbury Arts Magnet School (Middle)","=""1515011""",0,0,0,0,0,0,0,112,111,111,0,0,0,0,334
,,"West Side BDLC","=""1514711""",0,0,0,0,0,0,0,"*","*",11,0,0,0,0,23
,,"West Side Bilingual","=""1515611""",0,0,0,0,0,0,0,19,25,20,0,0,0,0,64
,,"West Side SCOPE","=""1515511""",0,0,0,0,0,0,0,0,"*","*",0,0,0,0,9
,,"North End ESC","=""1511811""",0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
,,"Crosby Autism","=""1514511""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",13
,,"Crosby High School","=""1516211""",0,0,0,0,0,0,0,0,0,0,301,308,257,296,1162
,,"John F. Kennedy High School","=""1516411""",0,0,0,0,0,0,0,0,0,0,322,297,318,307,1244
,,"Waterbury Arts Magnet School (High)","=""1516011""",0,0,0,0,0,0,0,0,0,0,121,121,109,120,471
,,"Wilby ESC","=""1511711""",0,0,0,0,0,0,0,0,0,0,7,0,"*","*",13
,,"Wilby High School","=""1516311""",0,0,0,0,0,0,0,0,0,0,237,264,245,256,1002
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""","*","*",53,55,64,53,68,0,0,0,0,0,0,0,330
,,"The Early Childhood Center","=""1520811""",44,0,0,0,0,0,0,0,0,0,0,0,0,0,44
,,"Autism Class","=""1521111""",0,"*","*",0,0,"*",0,0,0,0,0,0,0,0,"*"
,,"Great Neck Elementary School","=""1520211""",0,50,48,58,50,57,53,0,0,0,0,0,0,0,316
,,"Quaker Hill Elementary School","=""1520711""",0,61,58,67,65,57,69,0,0,0,0,0,0,0,377
,,"Clark Lane Middle School","=""1525111""",0,0,0,0,0,0,0,213,171,197,0,0,0,0,581
,,"Waterford Academy","=""1520911""",0,0,0,0,0,0,0,0,0,"*",0,0,0,0,"*"
,,"Waterford High School","=""1526111""",0,0,0,0,0,0,0,0,0,0,196,217,222,203,838
,,"Avery Point Transition Program","=""1520311""",0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""","*",188,197,197,"*",0,0,0,0,0,0,0,0,0,656
,,"Fletcher W. Judson School","=""1530311""",0,0,0,0,80,101,89,0,0,0,0,0,0,0,270
,,"Polk School","=""1530411""",0,0,0,0,99,100,106,0,0,0,0,0,0,0,305
,,"Swift Middle School","=""1535111""",0,0,0,0,0,0,0,243,230,212,0,0,0,0,685
,,"Watertown High School","=""1536111""",0,0,0,0,0,0,0,0,0,0,197,184,210,224,815
,,"Watertown Transition Academy","=""1530811""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
,,"Watertown Transition Program at Post University","=""1530711""",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"West Hartford School District","=""1550011""","Aiken School","=""1551611""",34,74,57,54,66,71,64,0,0,0,0,0,0,0,420
,,"Charter Oak International Academy","=""1550511""",80,77,84,78,85,59,72,0,0,0,0,0,0,0,535
,,"Smith School","=""1551711""",16,48,44,57,73,61,52,0,0,0,0,0,0,0,351
,,"Webster Hill School","=""1551211""",16,42,44,57,51,74,61,0,0,0,0,0,0,0,345
,,"Whiting Lane School","=""1551311""",105,44,41,39,28,34,60,0,0,0,0,0,0,0,351
,,"Braeburn School","=""1550211""",0,52,50,63,62,68,54,0,0,0,0,0,0,0,349
,,"Bugbee School","=""1550411""",0,62,56,61,59,65,82,0,0,0,0,0,0,0,385
,,"Duffy School","=""1550611""",0,86,80,88,85,69,99,0,0,0,0,0,0,0,507
,,"Morley Learning Center","=""1559711""",0,"*","*",0,0,0,0,0,0,0,0,0,0,0,"*"
,,"Morley School","=""1550911""",0,33,58,51,36,53,66,0,0,0,0,0,0,0,297
,,"Norfeldt Learning Center","=""1559411""",0,"*",6,"*","*",7,"*",0,0,0,0,0,0,0,24
,,"Norfeldt School","=""1551011""",0,50,52,50,49,57,47,0,0,0,0,0,0,0,305
,,"Wolcott Learning Center","=""1559611""",0,7,"*","*","*","*",0,0,0,0,0,0,0,0,19
,,"Wolcott School","=""1551511""",0,53,50,62,66,61,87,0,0,0,0,0,0,0,379
,,"Braeburn Learning Center","=""1559311""",0,0,"*",0,"*","*","*",0,0,0,0,0,0,0,"*"
,,"Whiting Lane Learning Center","=""1559511""",0,0,0,"*","*","*","*",0,0,0,0,0,0,0,"*"
,,"Bristow Middle School","=""1555311""",0,0,0,0,0,0,0,144,140,133,0,0,0,0,417
,,"King Philip Middle School","=""1555111""",0,0,0,0,0,0,0,288,298,317,0,0,0,0,903
,,"Sedgwick Middle School","=""1555211""",0,0,0,0,0,0,0,288,320,279,0,0,0,0,887
,,"REACH","=""1557311""",0,0,0,0,0,0,0,0,0,0,"*","*",12,22,41
,,"Conard High School","=""1556111""",0,0,0,0,0,0,0,0,0,0,384,380,339,367,1470
,,"Hall High School","=""1556211""",0,0,0,0,0,0,0,0,0,0,392,398,360,372,1522
,,"Strive-West Hartford","=""1559211""",0,0,0,0,0,0,0,0,0,0,8,13,10,8,39
,,"Post Secondary Program","=""1559011""",0,0,0,0,0,0,0,0,0,0,0,0,0,35,35
"West Haven School District","=""1560011""","Washington School","=""1561211""",11,83,74,90,97,77,0,0,0,0,0,0,0,0,432
,,"Alma E. Pagels School","=""1560811""",8,68,80,66,77,61,0,0,0,0,0,0,0,0,360
,,"Edith E. Mackrille School","=""1560611""",12,63,73,57,63,54,0,0,0,0,0,0,0,0,322
,,"Forest School","=""1560311""",20,83,76,72,78,68,0,0,0,0,0,0,0,0,397
,,"Savin Rock Community School","=""1561411""",17,96,103,94,100,77,0,0,0,0,0,0,0,0,487
