"Student Counts by School and Grade"
"All Districts, All Schools"
"2018-19"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
,,"Thomas Hooker School","=""0151311""",0,27,27,43,35,47,38,38,51,54,0,0,0,0,360
,,"Bridgeport Learning Center","=""0159011""",0,"*","*",13,8,9,"*",10,6,10,"*","*",0,"*",73
,,"Edison School","=""0150711""",0,20,28,29,25,38,22,22,0,0,0,0,0,0,184
,,"Hall School","=""0151111""",0,25,25,40,23,32,26,29,0,0,0,0,0,0,200
,,"James J. Curiale School","=""0154211""",0,64,51,64,64,47,52,56,80,84,0,0,0,0,562
,,"Madison School","=""0152011""",0,64,58,64,62,77,65,63,0,0,0,0,0,0,453
,,"Multicultural Magnet School","=""0154611""",0,47,48,49,51,48,50,49,60,63,0,0,0,0,465
,,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",0,0,0,0,0,0,0,0,0,0,145,121,84,99,449
,,"Bassick High School","=""0156111""",0,0,0,0,0,0,0,0,0,0,290,214,174,206,884
,,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",0,0,0,0,0,0,0,0,0,0,137,127,103,100,467
,,"Bridgeport Military Academy","=""0151611""",0,0,0,0,0,0,0,0,0,0,94,90,67,46,297
,,"Central High School","=""0156211""",0,0,0,0,0,0,0,0,0,0,385,379,397,354,1515
,,"Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",0,0,0,0,0,0,0,0,0,0,158,119,93,105,475
,,"Warren Harding High School","=""0156311""",0,0,0,0,0,0,0,0,0,0,320,294,240,228,1082
,,"Opportunities for Self-Discovery Community Partnership","=""0152811""",0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
"Bristol School District","=""0170011""","BECC Autism","=""0172911""",7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,,"Bristol Early Childhood Center-BECC","=""0170411""",107,0,0,0,0,0,0,0,0,0,0,0,0,0,107
,,"Ellen P. Hubbell School","=""0171411""",33,59,57,55,61,71,65,0,0,0,0,0,0,0,401
,,"Greene-Hills School","=""0170511""",30,89,98,113,96,94,105,94,93,106,0,0,0,0,918
,,"Ivy Drive School","=""0171911""",36,51,59,61,67,39,63,0,0,0,0,0,0,0,376
,,"Mountain View School","=""0171711""",36,40,60,57,54,54,49,0,0,0,0,0,0,0,350
,,"South Side School","=""0171111""",59,58,91,66,64,77,74,0,0,0,0,0,0,0,489
,,"Edgewood School","=""0170311""",0,42,45,47,46,54,42,0,0,0,0,0,0,0,276
,,"Mt. View GOAL","=""0172511""",0,"*","*",0,0,0,0,0,0,0,0,0,0,0,"*"
,,"South Side Extended Resource","=""0173011""",0,"*","*","*","*","*","*",0,0,0,0,0,0,0,12
,,"Stafford Autism","=""0173211""",0,"*","*","*","*","*",0,0,0,0,0,0,0,0,10
,,"Stafford School","=""0171211""",0,59,48,62,71,61,62,0,0,0,0,0,0,0,363
,,"West Bristol School","=""0172011""",0,81,99,97,100,100,106,109,108,110,0,0,0,0,910
,,"Ivy Drive Medically Fragile","=""0172311""",0,0,"*","*",0,0,0,0,0,0,0,0,0,0,"*"
,,"Hubbell/Extended Resource","=""0172111""",0,0,0,"*","*","*",0,0,0,0,0,0,0,0,"*"
,,"Ivy Drive GOAL","=""0172611""",0,0,0,"*","*",0,0,0,0,0,0,0,0,0,6
,,"Hubbell Autism Program","=""0173711""",0,0,0,0,"*","*","*",0,0,0,0,0,0,0,9
,,"Mt. View Extended Resource","=""0172411""",0,0,0,0,"*",0,0,0,0,0,0,0,0,0,"*"
,,"Alternative Special Education Program (ASEP)","=""0179011""",0,0,0,0,0,"*","*","*","*","*",6,"*","*","*",20
,,"South Side GOAL","=""0173111""",0,0,0,0,0,"*","*",0,0,0,0,0,0,0,6
,,"Chippens Hill Middle School","=""0175111""",0,0,0,0,0,0,0,231,238,270,0,0,0,0,739
,,"Chippens Hill Middle School Functional Program","=""0171011""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,9
,,"Chippens Hill Middle School Medically Fragile","=""0171611""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,"*"
,,"Chippens Hilll Middle School Extended Resource","=""0170811""",0,0,0,0,0,0,0,"*",8,"*",0,0,0,0,13
